                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4135,                0.85623,                 1.0693,                0.91295,                0.80672,                0.88665,                0.43195,                 2.0336,                0.69976,                 1.0084,                0.00012,                0.00012,                0.00012
                      2,                  1.989,                0.75584,                 0.9824,                0.93153,                0.89706,                0.91777,                0.54856,                 1.5034,                0.62282,                0.91138,             0.00025142,             0.00025142,             0.00025142
                      3,                 1.6002,                0.70701,                0.91756,                 0.9314,                0.89519,                0.92395,                0.56643,                 1.4374,                0.58836,                0.89959,              0.0003736,              0.0003736,              0.0003736
                      4,                 1.4832,                  0.644,                0.89664,                0.93231,                0.90817,                0.92974,                0.58752,                 1.4401,                0.58186,                 0.9032,             0.00048654,             0.00048654,             0.00048654
                      5,                 1.4717,                0.63077,                0.89331,                0.92191,                 0.9082,                0.93293,                0.61862,                 1.3495,                  0.571,                0.88686,             0.00059024,             0.00059024,             0.00059024
                      6,                 1.3504,                0.59073,                0.88464,                0.93253,                0.91129,                0.93745,                 0.6264,                 1.2935,                0.55535,                0.87376,              0.0006847,              0.0006847,              0.0006847
                      7,                 1.4204,                0.60752,                0.87468,                0.94456,                0.89011,                0.93835,                0.62688,                 1.2732,                0.54407,                0.86682,             0.00076992,             0.00076992,             0.00076992
                      8,                  1.353,                 0.5716,                0.87492,                 0.9476,                0.89427,                0.93889,                0.63627,                 1.2829,                0.54713,                0.87165,              0.0008459,              0.0008459,              0.0008459
                      9,                 1.3159,                0.57239,                0.87542,                0.92182,                0.90703,                0.93631,                0.64082,                 1.2555,                 0.5374,                0.87132,             0.00091264,             0.00091264,             0.00091264
                     10,                 1.2776,                 0.5633,                0.86917,                0.94232,                0.89763,                0.93593,                0.64468,                 1.2492,                 0.5351,                0.87142,             0.00097014,             0.00097014,             0.00097014
                     11,                 1.3123,                0.57802,                0.86592,                0.94786,                 0.9011,                0.93234,                0.64001,                 1.2372,                0.53036,                 0.8664,              0.0010184,              0.0010184,              0.0010184
                     12,                 1.3194,                0.57142,                0.86365,                0.94787,                0.91758,                0.94694,                0.64443,                 1.2167,                0.52263,                0.86497,              0.0010574,              0.0010574,              0.0010574
                     13,                 1.2128,                0.53819,                0.86432,                0.94201,                0.91209,                0.93909,                0.64066,                 1.2122,                0.53281,                0.86552,              0.0010872,              0.0010872,              0.0010872
                     14,                  1.282,                 0.5571,                0.87215,                0.93502,                0.91209,                0.94071,                 0.6386,                 1.2268,                0.53665,                0.86962,              0.0011077,              0.0011077,              0.0011077
                     15,                 1.2667,                0.55666,                0.87239,                0.93775,                0.91043,                0.93337,                0.63985,                 1.2347,                0.53224,                0.87296,               0.001076,               0.001076,               0.001076
                     16,                 1.2983,                0.56798,                0.86619,                0.93467,                0.92308,                0.93649,                0.64467,                 1.2534,                0.52891,                0.87345,               0.001076,               0.001076,               0.001076
                     17,                 1.2862,                0.55116,                0.86335,                0.94263,                0.90273,                0.93523,                   0.64,                 1.2563,                0.52953,                0.87237,                0.00101,                0.00101,                0.00101
                     18,                 1.2298,                 0.5414,                0.86856,                 0.9536,                0.90335,                0.93368,                0.63899,                 1.2447,                0.52562,                0.87283,               0.000944,               0.000944,               0.000944
                     19,                 1.2847,                0.57438,                0.85967,                0.96065,                0.91209,                0.94145,                0.64367,                  1.225,                0.51397,                0.87269,               0.000878,               0.000878,               0.000878
                     20,                 1.2825,                0.55573,                 0.8582,                0.95412,                0.92308,                0.93792,                0.64719,                 1.2279,                0.50881,                0.87342,               0.000812,               0.000812,               0.000812
                     21,                 1.1787,                0.50902,                0.85705,                0.95755,                0.92308,                0.93838,                0.64964,                 1.2276,                0.50589,                0.87141,               0.000746,               0.000746,               0.000746
                     22,                 1.2003,                0.51691,                0.86728,                0.95829,                0.92308,                0.93804,                 0.6513,                 1.2248,                0.50637,                0.86692,                0.00068,                0.00068,                0.00068
                     23,                 1.1612,                0.49982,                0.86667,                0.95795,                0.92308,                0.94028,                0.65983,                 1.2039,                0.49685,                0.86531,               0.000614,               0.000614,               0.000614
                     24,                 1.2049,                0.50051,                0.87105,                0.95773,                0.91758,                0.94258,                0.66641,                 1.1823,                0.49168,                0.86289,               0.000548,               0.000548,               0.000548
                     25,                 1.1623,                0.49824,                0.86599,                0.95905,                0.91758,                0.94748,                0.66866,                 1.1704,                0.48964,                0.86218,               0.000482,               0.000482,               0.000482
                     26,                 1.1496,                0.48698,                0.86756,                 0.9501,                0.91758,                0.94712,                0.67478,                 1.1598,                0.48698,                 0.8604,               0.000416,               0.000416,               0.000416
                     27,                 1.1209,                0.47555,                 0.8669,                0.95208,                0.91209,                0.94208,                0.66928,                 1.1514,                0.48182,                0.85899,                0.00035,                0.00035,                0.00035
                     28,                 1.1565,                0.47893,                0.87897,                0.94292,                0.90758,                0.93891,                0.66674,                 1.1597,                0.47772,                0.85923,               0.000284,               0.000284,               0.000284
                     29,                 1.1743,                0.49122,                0.85763,                0.94293,                0.90776,                0.94077,                0.66942,                 1.1637,                0.47877,                0.85976,               0.000218,               0.000218,               0.000218
                     30,                 1.1399,                0.48274,                0.86472,                0.94287,                0.90683,                0.94037,                0.66798,                  1.169,                0.47891,                0.86008,               0.000152,               0.000152,               0.000152
